im10986254,楽祭ロゴ,あなたのとなりでひととなり　こころのこりてしのびゆく,,詠み人知らず,思人,shijin,,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,彼方見る　もみじを照らす　秋の夜,,伊賀高原,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,燃ゆる葉の　月下でひとこと　「犬じゃない！」,,3waves,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,秋の夜　月面見つめる　千里眼,釘付けにする　白銀の色,緋畑,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,秋の夜の　闇をも見通す　千里眼,胸に秘めるは　哨戒の誇り,茶芭,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,秋澄むや　千里も敵わぬ　朧月,,美容室(マツリ),思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,あきひとつ　つきのあかりと　イヌじゃない,,詠み人知らず,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,別れても　巡り巡って　また出会う,秋の夜の月　次の世の秋,たこLOVE,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,見上げれば　秋月照らす　静かな夜,かの人もまた　同じ月観るか,和風海苔,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,秋の夜に　月を見つめて　なに思う,,残念,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,秋の夜　ひとのとどかぬ　つきあかり,,詠み人知らず,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,秋の夜の　真澄を飾る　万ノ華,,蛮菓,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,じんるいは　しばらくいかぬ　げつめんに,,詠み人知らず,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,秋の夜の月の下にて心響む吾が生来の血にやありけむ,,水炬,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,森の中　蒼く照らせる　月光に,白狼の目にも　白い涙,煤足,思人,shijin,秋の夜,-
im11025056,【東方ニコ楽祭・思人】月下の白狼,白き狼　黒きに染める　秋の夜,,アジャストリーマ,思人,shijin,秋の夜,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),三毛招く　宝物光る　野外市,,伊賀高原,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),猫の手も　借りるとばかりに　闇市場,まずはやっぱり　パワーに限るぜ！,緋畑,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),寄ってらっしゃい　見てらっしゃい　お代は見てのお帰りで♪,,茶芭,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),見てらっしゃい　看取ってらっしゃい　無何有の国,,美容室(マツリ),思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),おいでませ　ないものはない　ねこのみせ,,いぬたろう,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),前会った　魔理沙が客で　やって来た,死ぬまで借りずに　ちゃんと買ってよ,茶芭,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),闇市場　パチモノカード　豪傑寺,,残念,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),ウェルカム　招かれたるは　なにものか,幸か不幸か　アナタ次第,和風海苔,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),宝塔を　回収したいが　猫が邪魔（ナズーリン心の俳句）,,３ｗａｖｅｓ）,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),おさがしの　右手はないよ　『こちら』にも,ぬくもりだけは　託してきたろ？,蛮菓,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),商秋や　店(たな)で唸るは　掘り出し物(もん),,自由突破,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),さがしもの　みつかったかい　秋の店,,詠み人知らず,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),万物の　坩堝(るつぼ)となりて　大店の,屑(くず)も宝も　見る人次第,自由突破,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),招き猫　商売繁盛　招く猫,招かれしモノは　人かお金か,水炬,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),店の物　すべてを集め　捧げるも,猫(店主)の声に　勝るものなし,煤足,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),招き猫　客を寄せて　売買し,,詠み人知らず,思人,shijin,,-
im11025131,【東方ニコ楽祭・思人】豪徳寺ミケの大店(おおだな),カード売り　笑顔で招くは　三毛の猫,,アジャストリーマ,思人,shijin,,-
im11025437,星の迷案,我宝塔　本物宝塔　意識外,,伊賀高原,思人,shijin,,-
im11025437,星の迷案,閃いた　星の迷案　一体化,ナズ―は呆れて　二の句が継げず,茶芭,思人,shijin,,-
im11025437,星の迷案,ナズーリン　家出した理由（わけ）　聞いたなら,春の陽気に　浮かれた星,３ｗａｖｅｓ,思人,shijin,,-
